10/07/2025  2:30 PM
Units: N
Readings: Continuous
X-Axis: Travel
Travel Unit: mm
Reading	Load	Travel	Time
1	-0.0010	-71.920	0.000
2	-0.0010	-71.920	0.116
3	-0.0010	-71.920	0.142
4	-0.0010	-71.920	0.167
5	-0.0012	-71.920	0.194
6	-0.0010	-71.920	0.218
7	-0.0008	-71.920	0.267
8	-0.0010	-71.920	0.292
9	-0.0010	-71.920	0.357
10	-0.0012	-71.920	0.382
11	-0.0012	-71.920	0.439
12	-0.0012	-71.920	0.467
13	-0.0008	-71.920	0.538
14	-0.0010	-71.920	0.577
15	-0.0010	-71.920	0.637
16	-0.0008	-71.920	0.662
17	-0.0010	-71.920	0.720
18	-0.0010	-71.920	0.748
19	-0.0010	-71.920	0.822
20	-0.0010	-71.920	0.850
21	-0.0010	-71.920	0.926
22	-0.0008	-71.920	0.954
23	-0.0010	-71.920	1.039
24	-0.0012	-71.920	1.066
25	-0.0010	-71.920	1.161
26	-0.0012	-71.920	1.187
27	-0.0012	-71.920	1.274
28	-0.0010	-71.920	1.300
29	-0.0010	-71.920	1.383
30	-0.0010	-71.920	1.410
31	-0.0012	-71.920	1.485
32	-0.0010	-71.920	1.512
33	-0.0010	-71.920	1.584
34	-0.0010	-71.920	1.611
35	-0.0010	-71.920	1.700
36	-0.0010	-71.920	1.727
37	-0.0010	-71.920	1.804
38	-0.0010	-71.920	1.830
39	-0.0010	-71.920	1.904
40	-0.0010	-71.920	1.930
41	-0.0010	-71.920	2.008
42	-0.0010	-71.920	2.034
43	-0.0010	-71.920	2.115
44	-0.0010	-71.920	2.142
45	-0.0010	-71.920	2.220
46	-0.0010	-71.920	2.245
47	-0.0010	-71.920	2.327
48	-0.0010	-71.920	2.354
49	-0.0010	-71.920	2.450
50	-0.0010	-71.920	2.477
51	-0.0010	-71.920	2.554
52	-0.0010	-71.920	2.580
53	-0.0010	-71.920	2.668
54	-0.0010	-71.920	2.694
55	-0.0010	-71.920	2.765
56	-0.0010	-71.920	2.792
57	-0.0010	-71.920	2.883
58	-0.0010	-71.920	2.908
59	-0.0010	-71.920	2.986
60	-0.0010	-71.920	3.011
61	-0.0010	-71.920	3.081
62	-0.0010	-71.920	3.108
63	-0.0010	-71.920	3.188
64	-0.0010	-71.920	3.213
