17/07/2025  3:11 PM
Units: N
Readings: Continuous
X-Axis: Travel
Travel Unit: mm
Reading	Load	Travel	Time
1	0.0002	0.000	0.000
2	-0.0014	0.000	0.113
3	-0.0010	0.000	0.156
4	-0.0010	0.000	0.172
5	-0.0016	0.000	0.212
6	0.0000	0.000	0.232
7	-0.0012	0.000	0.276
8	-0.0006	0.000	0.291
9	-0.0002	0.000	0.351
10	-0.0004	0.000	0.371
11	-0.0008	0.000	0.417
12	-0.0006	0.000	0.431
13	-0.0006	0.000	0.491
14	-0.0004	0.000	0.511
15	-0.0004	0.000	0.571
16	-0.0002	0.000	0.591
17	-0.0006	0.000	0.651
18	0.0002	0.000	0.672
19	-0.0012	0.000	0.731
20	0.0004	0.000	0.751
21	-0.0018	0.000	0.815
22	0.0006	0.000	0.831
23	0.0004	0.000	0.911
24	-0.0004	0.000	0.932
25	-0.0022	0.000	0.999
26	0.0006	0.000	1.011
27	0.0010	0.000	1.091
28	-0.0016	0.000	1.111
29	-0.0004	0.000	1.197
30	0.0000	0.000	1.211
31	-0.0016	0.000	1.291
32	-0.0018	0.000	1.311
33	-0.0012	0.000	1.391
34	-0.0014	0.000	1.411
35	-0.0006	0.000	1.481
36	-0.0002	0.000	1.493
37	-0.0004	0.000	1.571
38	-0.0014	0.000	1.591
39	-0.0002	0.000	1.660
40	-0.0002	0.000	1.673
41	-0.0018	0.000	1.751
42	-0.0012	0.000	1.771
43	0.0008	0.000	1.839
44	-0.0018	0.000	1.851
45	-0.0020	0.000	1.932
46	-0.0002	0.000	1.951
47	-0.0020	0.000	2.032
48	0.0004	0.000	2.051
49	0.0014	0.000	2.131
50	0.0014	0.000	2.151
51	-0.0026	0.000	2.236
52	0.0004	0.000	2.252
53	0.0008	0.000	2.331
54	0.0000	0.000	2.352
55	-0.0012	0.000	2.432
56	0.0002	0.000	2.452
57	-0.0010	0.000	2.531
58	-0.0008	0.000	2.551
59	-0.0012	0.000	2.632
60	-0.0004	0.000	2.652
61	-0.0010	-0.020	2.889
62	-0.0010	-0.020	2.912
63	0.0002	-0.020	2.991
64	0.0002	-0.020	3.011
65	-0.0008	-0.060	3.073
66	-0.0008	-0.060	3.091
67	-0.0014	-0.100	3.171
68	-0.0010	-0.100	3.191
69	-0.0006	-0.120	3.271
70	-0.0006	-0.120	3.291
71	0.0018	-0.160	3.372
72	0.0040	-0.160	3.391
73	0.0066	-0.200	3.471
74	0.0066	-0.200	3.491
75	0.0114	-0.220	3.572
76	0.0114	-0.220	3.592
77	0.0114	-0.260	3.671
78	0.0248	-0.260	3.691
79	0.0098	-0.260	3.791
80	0.0090	-0.260	3.811
81	0.0082	-0.260	3.891
82	0.0082	-0.260	3.911
83	-0.0082	-0.260	3.991
84	-0.0054	-0.260	4.012
85	0.0142	-0.260	4.091
86	0.0142	-0.260	4.111
87	0.0152	-0.260	4.172
88	0.0152	-0.260	4.192
89	0.0316	-0.260	4.271
90	0.0316	-0.260	4.292
91	0.0078	-0.260	4.372
92	0.0078	-0.260	4.391
93	0.0072	-0.260	4.471
94	-0.0108	-0.260	4.491
95	-0.0096	-0.260	4.571
96	-0.0028	-0.260	4.592
97	0.0152	-0.260	4.671
98	0.0152	-0.260	4.692
99	0.0312	-0.260	4.771
100	0.0340	-0.260	4.791
101	0.0278	-0.260	4.871
102	0.0278	-0.260	4.891
103	0.0072	-0.260	4.971
104	0.0066	-0.260	4.991
105	-0.0126	-0.260	5.072
106	-0.0126	-0.260	5.091
107	-0.0074	-0.260	5.171
108	0.0016	-0.260	5.191
109	0.0156	-0.260	5.272
110	0.0310	-0.260	5.292
111	0.0346	-0.260	5.371
112	0.0346	-0.260	5.391
113	0.0200	-0.260	5.453
114	0.0200	-0.260	5.472
115	-0.0064	-0.260	5.571
116	-0.0064	-0.260	5.592
117	-0.0088	-0.260	5.671
118	-0.0054	-0.260	5.691
119	0.0140	-0.260	5.771
120	0.0140	-0.260	5.791
121	0.0146	-0.260	5.871
122	0.0300	-0.260	5.891
123	0.0282	-0.260	5.972
124	0.0282	-0.260	5.991
125	0.0084	-0.260	6.071
126	0.0076	-0.260	6.091
127	-0.0064	-0.260	6.171
128	-0.0072	-0.260	6.191
129	0.0008	-0.260	6.271
130	0.0008	-0.260	6.292
131	0.0142	-0.260	6.371
132	0.0140	-0.260	6.392
133	0.0262	-0.260	6.472
134	0.0262	-0.260	6.491
135	0.0098	-0.260	6.552
136	0.0098	-0.260	6.571
137	0.0086	-0.260	6.652
138	0.0088	-0.260	6.672
139	-0.0012	-0.260	6.751
140	-0.0012	-0.260	6.772
141	0.0128	-0.260	6.851
142	0.0128	-0.260	6.871
143	0.0130	-0.260	6.952
144	0.0124	-0.260	6.971
145	0.0108	-0.260	7.051
146	0.0108	-0.260	7.071
147	0.0096	-0.260	7.151
148	0.0094	-0.260	7.171
149	0.0100	-0.260	7.233
150	0.0100	-0.260	7.252
151	0.0114	-0.260	7.332
152	0.0114	-0.260	7.352
153	0.0126	-0.260	7.431
154	0.0126	-0.260	7.451
155	0.0116	-0.260	7.532
156	0.0116	-0.260	7.551
157	0.0102	-0.260	7.631
158	0.0098	-0.260	7.652
159	0.0098	-0.260	7.732
160	0.0098	-0.260	7.751
161	0.0114	-0.260	7.831
162	0.0114	-0.260	7.851
163	0.0122	-0.260	7.931
164	0.0124	-0.260	7.952
165	0.0116	-0.260	8.031
166	0.0116	-0.260	8.051
167	0.0104	-0.260	8.131
168	0.0100	-0.260	8.151
169	0.0098	-0.260	8.232
170	0.0098	-0.260	8.251
171	0.0106	-0.260	8.331
172	0.0112	-0.260	8.351
173	0.0124	-0.260	8.431
174	0.0124	-0.260	8.451
175	0.0124	-0.260	8.532
176	0.0120	-0.260	8.551
177	0.0104	-0.260	8.632
178	0.0098	-0.260	8.652
179	0.0092	-0.260	8.731
180	0.0090	-0.260	8.751
181	0.0096	-0.240	8.831
182	-0.0040	-0.240	8.851
183	0.0094	-0.220	8.931
184	0.0094	-0.200	8.951
185	0.0058	-0.160	9.031
186	0.0050	-0.160	9.051
187	0.0024	-0.140	9.131
188	0.0024	-0.120	9.152
189	-0.0014	-0.100	9.231
190	-0.0010	-0.100	9.252
191	-0.0020	-0.060	9.332
192	-0.0020	-0.060	9.351
193	-0.0022	-0.040	9.431
194	-0.0008	-0.020	9.451
195	0.0154	0.000	9.531
196	0.0004	0.000	9.551
197	-0.0012	0.000	9.632
198	-0.0012	0.000	9.652
199	-0.0020	0.000	9.731
200	-0.0020	0.000	9.751
201	-0.0014	0.000	9.832
202	-0.0014	0.000	9.851
203	0.0000	0.000	9.931
204	0.0004	0.000	9.952
205	0.0006	0.000	10.031
206	0.0006	0.000	10.051
207	-0.0002	0.000	10.131
208	-0.0006	0.000	10.152
209	-0.0018	0.000	10.231
210	-0.0018	0.000	10.252
211	-0.0016	0.000	10.331
212	-0.0016	0.000	10.352
213	-0.0006	0.000	10.431
214	-0.0002	0.000	10.451
215	0.0002	0.000	10.531
216	0.0002	0.000	10.552
217	0.0000	0.000	10.631
218	0.0000	0.000	10.652
219	-0.0004	0.000	10.732
220	-0.0004	0.000	10.751
221	-0.0016	0.000	10.832
222	-0.0022	0.000	10.851
223	-0.0022	0.000	10.932
224	-0.0022	0.000	10.951
225	-0.0008	0.000	11.031
226	0.0002	0.000	11.051
227	0.0014	0.000	11.131
228	0.0014	0.000	11.151
229	-0.0002	0.000	11.231
230	-0.0002	0.000	11.251
231	-0.0022	0.000	11.331
